# Fused multiply-add sites in MWCC game code (port/tools/fma_scan.py objs).
# file:line function kind count
melee/ft/ftcpuattack.c:485 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:487 ftCo_800B52AC fnmsub 3
melee/ft/ftcpuattack.c:488 ftCo_800B52AC fnmsub 1
melee/ft/ftcpuattack.c:491 ftCo_800B52AC fnmsub 3
melee/ft/ftcpuattack.c:492 ftCo_800B52AC fnmsub 1
melee/ft/ftcpuattack.c:498 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:512 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:514 ftCo_800B52AC fnmsub 3
melee/ft/ftcpuattack.c:515 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:515 ftCo_800B52AC fnmsub 1
melee/ft/ftcpuattack.c:519 ftCo_800B52AC fnmsub 3
melee/ft/ftcpuattack.c:520 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:520 ftCo_800B52AC fnmsub 1
melee/ft/ftcpuattack.c:526 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:529 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:532 ftCo_800B52AC fmsubs 1
melee/ft/ftcpuattack.c:535 ftCo_800B52AC fmadds 1
melee/ft/ftcpuattack.c:665 ftCo_800B5AB0 fmadds 2
melee/ft/ftcpuattack.c:679 ftCo_800B5AB0 fmadds 1
melee/ft/ftcpuattack.c:681 ftCo_800B5AB0 fnmsub 4
melee/ft/ftcpuattack.c:685 ftCo_800B5AB0 fnmsub 4
melee/ft/ftcpuattack.c:691 ftCo_800B5AB0 fmadds 1
melee/ft/ftcpuattack.c:705 ftCo_800B5AB0 fmadds 1
melee/ft/ftcpuattack.c:707 ftCo_800B5AB0 fmadds 1
melee/ft/ftcpuattack.c:707 ftCo_800B5AB0 fnmsub 4
melee/ft/ftcpuattack.c:711 ftCo_800B5AB0 fmadds 1
melee/ft/ftcpuattack.c:711 ftCo_800B5AB0 fnmsub 4
melee/ft/ftcpuattack.c:717 ftCo_800B5AB0 fmadds 1
melee/ft/ftcpuattack.c:2097 ftCo_800B9704 fmadds 2
melee/ft/ftcpuattack.c:2285 ftCo_800B9CBC fmadds 2
melee/ft/ftcpuattack.c:2645 ftCo_800BB104 fmadds 3
melee/ft/ftcpuattack.c:2717 ftCo_800BB220 fmadds 3
melee/ft/ftcpuattack.c:2730 ftCo_800BB220 fmadds 3
melee/ft/ftcpuattack.c:2755 ftCo_800BB220 fmadds 3
melee/ft/ftcpuattack.c:2784 ftCo_800BB220 fmadds 3
melee/ft/ftlib.c:161 ftLib_8008627C fmadds 1
melee/ft/ftlib.c:215 ftLib_80086368 fmadds 1
melee/ft/ftwalkcommon.c:167 ftWalkCommon_800DFEC8 fnmsubs 1
melee/ft/kinds/ftCommon/ftCo_09F7.c:104 ftCo_8009F834 fmadds 1
melee/ft/kinds/ftCommon/ftCo_09F7.c:106 ftCo_8009F834 fmadds 1
melee/ft/kinds/ftCommon/ftCo_09F7.c:109 ftCo_8009F834 fmadds 1
melee/ft/kinds/ftCommon/ftCo_09F7.c:201 ftCo_8009F834 fmadds 1
melee/ft/kinds/ftCommon/ftCo_09F7.c:203 ftCo_8009F834 fmadds 1
melee/ft/kinds/ftCommon/ftCo_09F7.c:206 ftCo_8009F834 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:15 sqrtf__Ff fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:872 ftCo_800A1AB4 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:875 ftCo_800A1AB4 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:1069 ftCo_800A1F98 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1092 ftCo_800A20A0 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1195 ftCo_800A229C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1201 ftCo_800A229C fnmsubs 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1208 ftCo_800A229C fnmsubs 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1214 ftCo_800A229C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1246 ftCo_800A229C fmadd 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1248 ftCo_800A229C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1254 ftCo_800A229C fnmsubs 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1311 ftCo_800A2718 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1315 ftCo_800A2718 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1447 ftCo_800A2A70 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1449 ftCo_800A2A70 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:1451 ftCo_800A2A70 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1453 ftCo_800A2A70 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:1565 ftCo_800A2C80 fmadds 2
melee/ft/kinds/ftCommon/ftCo_0A01.c:1851 ftCo_800A3554 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:1852 ftCo_800A3554 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:2064 ftCo_800A3908 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2068 ftCo_800A3908 fnmsub 4
melee/ft/kinds/ftCommon/ftCo_0A01.c:2075 ftCo_800A3908 fnmsub 4
melee/ft/kinds/ftCommon/ftCo_0A01.c:2127 ftCo_800A3908 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2127 ftCo_800A3908 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:2232 ftCo_800A4038 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2236 ftCo_800A4038 fnmsub 4
melee/ft/kinds/ftCommon/ftCo_0A01.c:2243 ftCo_800A4038 fnmsub 4
melee/ft/kinds/ftCommon/ftCo_0A01.c:2294 ftCo_800A4038 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2294 ftCo_800A4038 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:2341 ftCo_800A4768 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2356 ftCo_800A4768 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2371 ftCo_800A49B4 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2375 ftCo_800A49B4 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:2452 ftCo_800A4A40 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2456 ftCo_800A4A40 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2494 ftCo_800A4BEC fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2497 ftCo_800A4BEC fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2546 ftCo_800A4E8C fmadds 2
melee/ft/kinds/ftCommon/ftCo_0A01.c:2553 ftCo_800A4E8C fmadds 2
melee/ft/kinds/ftCommon/ftCo_0A01.c:2611 ftCo_800A50D4 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2614 ftCo_800A50D4 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2701 ftCo_800A53DC fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2706 ftCo_800A53DC fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2744 ftCo_800A53DC fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:2749 ftCo_800A53DC fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3001 ftCo_800A5CE0 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3004 ftCo_800A5CE0 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3071 ftCo_800A5F4C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3071 ftCo_800A5F4C fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:3080 ftCo_800A5F4C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3080 ftCo_800A5F4C fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:3126 ftCo_800A61D8 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3126 ftCo_800A61D8 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:3130 ftCo_800A61D8 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3130 ftCo_800A61D8 fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:3184 ftCo_800A648C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3184 ftCo_800A648C fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:3186 ftCo_800A648C fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3186 ftCo_800A648C fnmsub 3
melee/ft/kinds/ftCommon/ftCo_0A01.c:3243 ftCo_800A6700 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3263 ftCo_800A6700 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3913 ftCo_800A80E4 fmadds 1
melee/ft/kinds/ftCommon/ftCo_0A01.c:3916 ftCo_800A80E4 fnmsub 3
